sites,study_id,year,reference,doi_link,spatial_rank,temporal_resolution_rank,temporal_bredth_rank,biodiversity_metrics,method,taxa,continent,country,treatment,season,forest_type,forest_type_iucn_new,elevation,canopy_height,latitude,longitude,study_start_date,study_end_date,link
5,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,2,Abundance - 7 categories of height,Human observation,Birds,Asia and Oceania,Papua New Guinea,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,45,45,-3.916667,143.033333,9/30/1974,11/3/1974,Pearson_1977 _ 5
1,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,5,4,Abundance - 7 categories of height,Human observation,Birds,Americas,Ecuador,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,300,40,-0.4,-76.633333,7/19/1971,4/19/1972,Pearson_1977 _ 1
2,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,4,3,Abundance - 7 categories of height,Human observation,Birds,Americas,Peru,Unlogged,Dry,Lowland rainforest,moist_lowland_forest,150,40,-8.283333,-74.616667,6/2/1972,9/5/1972,Pearson_1977 _ 2
3,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Americas,Bolivia,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,176,40,-11.133333,-66.166667,9/14/1972,11/15/1972,Pearson_1977 _ 3
6,Pearson_1977,1977,"Pearson, D. L. (1977). A pantropical comparison of bird community structure on six lowland forest sites. The Condor, 79(2), 232-244.",NA,2,3,3,Abundance - 7 categories of height,Human observation,Birds,Africa,Gabon,Unlogged,Wet,Lowland rainforest,moist_lowland_forest,500,40,-0.066667,12.133333,9/28/1976,11/14/1976,Pearson_1977 _ 6
1,Pech-Canche_2011,2011,"Pech-Canche, J. M., Estrella, E., López-Castillo, D. L., Hernández-Betancourt, S. F., & Moreno, C. E. (2011). Complementarity and efficiency of bat capture methods in a lowland tropical dry forest of Yucatán, Mexico. Revista Mexicana de Biodiversidad, 82(3), 896-903.",NA,2,3,4,"Abundance, Richness - 2 categories of height",Mist nets,Bats,Americas,Mexico,Unlogged,Sampling combined,Tropical dry forest,dry_forest,100,15,21.092222,-89.5975,11/1/2005,10/1/2006,Pech-Canche_2011 _ 1
1,Pereira_2010,2010,"Pereira, M. J. R., Marques, J. T., & Palmeirim, J. M. (2010). Vertical stratification of bat assemblages in flooded and unflooded Amazonian forests. Current Zoology, 56(4), 469-478.",10.1093/czoolo/56.4.469,5,3,4,Richness - 2 categories of height,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,44,35,-2.40407,-64.680292,4/1/2007,12/1/2007,Pereira_2010 _ 1
1,Peters_2006,2006,"Peters, S. L., Malcolm, J. R., & Zimmerman, B. L. (2006). Effects of selective logging on bat communities in the southeastern Amazon. Conservation Biology, 20(5), 1410-1421.",10.1111/j.1523-1739.2006.00526.x,2,2,2,Richness - 2 categories of height,Mist nets,Bats,Americas,Brazil,Unlogged,Sampling combined,Lowland rainforest,moist_lowland_forest,300,30,-7.683333,-51.866667,9/1/2002,12/1/2002,Peters_2006 _ 1
1,Rader_2006,2006,"Rader, R., & Krockenberger, A. (2006). Does resource availability govern vertical stratification of small mammals in an Australian lowland tropical rainforest?. Wildlife Research, 33(7), 571-576.",10.1071/WR04108,1,2,4,"Abundance, Richness - 4 categories of height",Traps,Small mammals,Asia and Oceania,Australia,Unlogged,Sampling combined,Tropical rainforest,moist_lowland_forest,400,35,-16.095527,145.425929,5/1/2002,4/1/2003,Rader_2006 _ 1
1,Rajaonarivelo_2020,2020,"Rajaonarivelo, J. A., Andrianarisima, A., Raherilalao, M. J., & Goodman, S. (2020). Vertical distribution and daily patterns of birds in the dry deciduous forests of central western Madagascar. Tropical Zoology, 33(1).",10.4081/tz.2020.66,3,3,3,"Richness, abundance - 9 categories of height",Human observation,Birds,Africa,Madagascar,Unlogged,Wet,Dry deciduous,dry_forest,30,20,-20.083333,44.533333,1/25/2018,2/17/2018,Rajaonarivelo_2020 _ 1
