"","Study Unit","Reference","Taxa","Method","Study Quality","Bioregion","Country","Latitude","Longitude","Elevation","Forest Type","Canopy Height","Season","Richness","Abundance"
"11","Brosset 1996","Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.","Bats","Mist nets",9,"Americas","French Guiana",5.342922,-53.038439,30,"moist_lowland_forest",30,"Sampling combined",NA,"Y"
"12","Brosset 1996 (2)","Brosset, A., Charles-Dominique, P., Cockle, A., Cosson, J. F., & Masson, D. (1996). Bat communities and deforestation in French Guiana. Canadian Journal of Zoology, 74(11), 1974-1982.","Bats","Mist nets",9,"Americas","French Guiana",4.137033,-52.942917,100,"moist_lowland_forest",30,"Sampling combined",NA,"Y"
"13","Cademartori 2008","Cademartori, C. V., Marques, R. V., & Pacheco, S. M. (2008). Estratificação vertical no uso do espaço por pequenos mamíferos (Rodentia, Sigmodontinae) em área de Floresta Ombrófila Mista, RS, Brasil. Revista Brasileira de Zoociências, 10(3).","Small mammals","Traps",8,"Americas","Brazil",-29.383333,-50.383333,930,"moist_montane_forest",20,"Sampling combined",NA,"Y"
"14","Chmel 2016","Chmel, K., Riegert, J., Paul, L., & Novotný, V. (2016). Vertical stratification of an avian community in New Guinean tropical rainforest. Population Ecology, 58(4), 535-547.","Birds","Mist nets",7,"Asia and Oceania","Papua New Guinea",-5.113611,145.038611,120,"moist_lowland_forest",35,"Sampling combined","Y","Y"
"15","Clarke 2005","Clarke, F. M., Rostant, L. V., & Racey, P. A. (2005). Life after logging: post-logging recovery of a neotropical bat community. Journal of Applied Ecology, 42(2), 409-420.","Bats","Mist nets",11,"Americas","Trinidad",10.166667,-61.166667,100,"dry_forest",28,"Sampling combined",NA,"Y"
"16","Derlindati 2005 (3)","Derlindati, E. J., & Caziani, S. M. (2005). Using canopy and understory mist nets and point counts to study bird assemblages in Chaco forests. The Wilson Journal of Ornithology, 117(1), 92-99.","Birds","Mist nets",8,"Americas","Argentina",-25.916667,-62.083333,160,"dry_forest",12,"Dry","Y","Y"
"17","Derlindati 2005 (4)","Derlindati, E. J., & Caziani, S. M. (2005). Using canopy and understory mist nets and point counts to study bird assemblages in Chaco forests. The Wilson Journal of Ornithology, 117(1), 92-99.","Birds","Human observation",8,"Americas","Argentina",-25.916667,-62.083333,160,"dry_forest",12,"Dry","Y","Y"
"18","Duya 2017","Duya, M. R., Fidelino, J., & Ong, P. (2017). Spatial heterogeneity of fruit bats in a primary tropical lowland evergreen rainforest in northeastern Luzon, Philippines. Acta Chiropterologica, 19(2), 305-318.","Bats","Mist nets",10,"Asia and Oceania","Philippines",17.037222,122.389444,100,"moist_lowland_forest",20,"Wet","Y","Y"
"19","Francis 1994","Francis, C. M. (1994). Vertical stratification of fruit bats (Pteropodidae) in lowland dipterocarp rainforest in Malaysia. Journal of Tropical Ecology, 523-530.","Bats","Mist nets",7,"Asia and Oceania","Malaysia",3.716667,102.166667,100,"moist_lowland_forest",30,"Wet",NA,"Y"
"20","Frith 1984","Frith, D. W. (1984). Foraging ecology of birds in an upland tropical rainforest in north Queensland. Wildlife Research, 11(2), 325-347.","Birds","Human observation",11,"Asia and Oceania","Australia",-19,146.166667,800,"moist_montane_forest",35,"Sampling combined","Y","Y"
"21","Gokula 2007","Gokula, V., & Vijayan, L. (2007). Foraging strategies of birds in partitioning of food resources in dry deciduous forest of Mudumalai Wildlife Sanctuary, Tamil Nadu, India. Journal of Scientific Transaction in Environment and Technovation, 1(1), 36-42.","Birds","Human observation",4,"Asia and Oceania","India",11.583333,76.583333,1000,"dry_forest",11,"Dry","Y","Y"
"22","Gonzalez 2020","Gonzalez, J. C. T., de Guia, A. P. O., Dimalibot, J. C., Pantua, K. V., Gustilo, W. O., & Bantayan, N. C. (2020). Understorey to canopy vertebrate fauna of a lowland evergreen forest in Mt. Makiling Forest Reserve, Philippines. Biodiversity Data Journal, 8.","Amphibians","Human observation",4,"Asia and Oceania","Philippines",14.137222,121.1925,350,"moist_lowland_forest",20,"Sampling combined","Y",NA
"23","Gregorin 2017","Gregorin, R., Bernard, E., Lobao, K. W., Oliveira, L. F., Machado, F. S., Gil, B. B., & da Cunha Tavares, V. (2017). Vertical stratification in bat assemblages of the Atlantic Forest of south-eastern Brazil. Journal of Tropical Ecology, 33(5), 299-308.","Bats","Mist nets",7,"Americas","Brazil",-19.805,-42.641667,400,"dry_forest",25,"Sampling combined",NA,"Y"
"24","Grelle 2003","Grelle, C. E. V. (2003). Forest structure and vertical stratification of small mammals in a secondary Atlantic forest, southeastern Brazil. Studies on Neotropical Fauna and Environment, 38(2), 81-85.","Small mammals","Traps",7,"Americas","Brazil",-19.716667,-42.533333,400,"dry_forest",25,"Sampling combined",NA,"Y"
"25","Hannibal 2010","Hannibal, W., & Caceres, N. C. (2010). Use of vertical space by small mammals in gallery forest and woodland savannah in south-western Brazil. Mammalia, 74(3), 247-255.","Small mammals","Traps",9,"Americas","Brazil",-20.458333,-55.541667,300,"dry_forest",15,"Sampling combined",NA,"Y"
"26","Hannibal 2010 (2)","Hannibal, W., & Caceres, N. C. (2010). Use of vertical space by small mammals in gallery forest and woodland savannah in south-western Brazil. Mammalia, 74(3), 247-255.","Small mammals","Traps",9,"Americas","Brazil",-20.541667,-55.291667,300,"dry_forest",10,"Sampling combined",NA,"Y"
